"icode","n","min","max","mean","sd","product","meanpsd","meanmsd","code","realm","biome","area"
37,526657,677,7670,4628.015944,1904.151164,"MCD09_mean_05",6532.167108,2723.86478,"PA_9","Palearctic","Flooded Grasslands & Savannas",338367.403951761
38,4899545,776,10000,6118.122158,1552.965292,"MCD09_mean_05",7671.08745,4565.156866,"PA_10","Palearctic","Montane Grasslands & Shrublands",3392431.64470598
39,13143262,1923,9900,4865.799967,1140.607096,"MCD09_mean_05",6006.407063,3725.192871,"PA_11","Palearctic","Tundra",4057181.56827342
40,3015613,726,9384,4356.261452,1200.087125,"MCD09_mean_05",5556.348577,3156.174327,"PA_12","Palearctic","Mediterranean Forests, Woodlands & Scrub",2055581.75529756
41,24050470,56,10000,2683.947373,1318.521372,"MCD09_mean_05",4002.468745,1365.426001,"PA_13","Palearctic","Deserts & Xeric Shrublands",17403596.330573
42,67273,330,2880,1115.588096,246.87749,"MCD09_mean_05",1362.465586,868.710606,"NA_2","Nearctic","Tropical & Subtropical Dry Broadleaf Forests",51094.6339654442
43,375006,815,8080,3159.710298,1294.132766,"MCD09_mean_05",4453.843064,1865.577532,"NA_3","Nearctic","Tropical & Subtropical Coniferous Forests",289049.53675497
44,4419312,3723,8577,6430.802527,498.552637,"MCD09_mean_05",6929.355164,5932.24989,"NA_4","Nearctic","Temperate Broadleaf & Mixed Forests",2842611.26278819
45,3848773,529,10000,6559.310521,1362.118382,"MCD09_mean_05",7921.428903,5197.192139,"NA_5","Nearctic","Temperate Conifer Forests",2306573.43922857
46,11172313,2212,10000,5796.47136,1117.036613,"MCD09_mean_05",6913.507973,4679.434747,"NA_6","Nearctic","Boreal Forests/Taiga",5103136.38558615
47,107349,2315,6896,5347.909426,738.137524,"MCD09_mean_05",6086.04695,4609.771902,"NA_7","Nearctic","Tropical & Subtropical Grasslands, Savannas & Shrublands",80803.054655962
48,5021883,1166,8469,5591.321584,982.861458,"MCD09_mean_05",6574.183042,4608.460126,"NA_8","Nearctic","Temperate Grasslands, Savannas & Shrublands",3096877.65556798
49,14231614,148,10000,4451.050866,1773.806222,"MCD09_mean_05",6224.857088,2677.244644,"NA_11","Nearctic","Tundra",4253620.780699
50,173991,675,7438,2334.894719,709.999656,"MCD09_mean_05",3044.894375,1624.895063,"NA_12","Nearctic","Mediterranean Forests, Woodlands & Scrub",121539.999692215
51,3294261,365,9552,3396.618608,1576.167005,"MCD09_mean_05",4972.785613,1820.451603,"NA_13","Nearctic","Deserts & Xeric Shrublands",2324734.02781372
52,1517251,2607,8690,5103.243488,1150.62154,"MCD09_mean_05",6253.865028,3952.621948,"NA_98","Nearctic","Lake",875775.204944069
53,8876739,90,10000,2845.878835,2377.629692,"MCD09_mean_05",5223.508527,468.249143,"NA_99","Nearctic","Rock & Ice",8632669.43482529
54,11000629,1179,10000,7039.821251,1186.746286,"MCD09_mean_05",8226.567537,5853.074965,"NT_1","Neotropics","Tropical & Subtropical Moist Broadleaf Forests",9277768.86643515
55,1386714,657,10000,5439.075209,2160.229467,"MCD09_mean_05",7599.304676,3278.845742,"NT_2","Neotropics","Tropical & Subtropical Dry Broadleaf Forests",1144758.86402722
56,399192,1048,10000,6253.879902,1884.123119,"MCD09_mean_05",8138.003021,4369.756783,"NT_3","Neotropics","Tropical & Subtropical Coniferous Forests",327610.676518667
57,690956,3203,10000,7278.671117,1164.053821,"MCD09_mean_05",8442.724938,6114.617296,"NT_4","Neotropics","Temperate Broadleaf & Mixed Forests",413198.920570835
58,4946417,2416,9842,5499.123793,1275.446722,"MCD09_mean_05",6774.570515,4223.677071,"NT_7","Neotropics","Tropical & Subtropical Grasslands, Savannas & Shrublands",3993853.751848
59,2478959,3158,9970,5396.526236,656.843641,"MCD09_mean_05",6053.369877,4739.682595,"NT_8","Neotropics","Temperate Grasslands, Savannas & Shrublands",1629667.51758279
60,340291,2956,9304,4976.544246,747.879644,"MCD09_mean_05",5724.42389,4228.664602,"NT_9","Neotropics","Flooded Grasslands & Savannas",270985.872744574
61,1103938,591,10000,3600.624155,2324.641635,"MCD09_mean_05",5925.26579,1275.98252,"NT_10","Neotropics","Montane Grasslands & Shrublands",874747.377543077
62,203097,709,8615,3396.305878,1679.091708,"MCD09_mean_05",5075.397586,1717.21417,"NT_12","Neotropics","Mediterranean Forests, Woodlands & Scrub",148840.281162682
63,1401083,157,9947,5402.846781,2450.475342,"MCD09_mean_05",7853.322123,2952.371439,"NT_13","Neotropics","Deserts & Xeric Shrublands",1178910.87764069
64,151413,415,9810,5912.025903,1836.244703,"MCD09_mean_05",7748.270606,4075.7812,"NT_14","Neotropics","Mangroves",125626.572163706
65,9721,1297,3522,1961.512807,359.683866,"MCD09_mean_05",2321.196673,1601.828941,"NT_98","Neotropics","Lake",8033.35708767562
66,31283,6426,10000,9352.262507,692.749733,"MCD09_mean_05",10045.01224,8659.512774,"NT_99","Neotropics","Rock & Ice",17425.9514544645
67,35354,1764,9976,6918.899248,1409.92188,"MCD09_mean_05",8328.821128,5508.977368,"OC_1","Oceania","Tropical & Subtropical Moist Broadleaf Forests",29041.4567475314
68,18023,1556,9843,6380.406148,1390.351606,"MCD09_mean_05",7770.757754,4990.054542,"OC_2","Oceania","Tropical & Subtropical Dry Broadleaf Forests",14716.7680716168
69,4200,1931,9590,4258.314286,1322.17386,"MCD09_mean_05",5580.488146,2936.140426,"OC_7","Oceania","Tropical & Subtropical Grasslands, Savannas & Shrublands",3397.20486338822
1,4109912,353,10000,7013.471562,1690.935873,"MCD09_mean_06",8704.407435,5322.535689,"AT_1","Afrotropics","Tropical & Subtropical Moist Broadleaf Forests",3493131.82776895
2,236635,296,8151,1745.816836,1055.437906,"MCD09_mean_06",2801.254742,690.37893,"AT_2","Afrotropics","Tropical & Subtropical Dry Broadleaf Forests",195296.351029083
3,16678175,0,10000,4440.846322,2468.606467,"MCD09_mean_06",6909.452789,1972.239855,"AT_7","Afrotropics","Tropical & Subtropical Grasslands, Savannas & Shrublands",14012152.6144706
4,32718,622,9572,1961.440583,1006.170875,"MCD09_mean_06",2967.611458,955.269708,"AT_8","Afrotropics","Temperate Grasslands, Savannas & Shrublands",25842.0842717302
5,547700,64,8837,4415.884921,2549.066411,"MCD09_mean_06",6964.951332,1866.81851,"AT_9","Afrotropics","Flooded Grasslands & Savannas",458825.014149343
6,1082136,136,10000,4074.83156,2526.484851,"MCD09_mean_06",6601.316411,1548.346709,"AT_10","Afrotropics","Montane Grasslands & Shrublands",864245.767747328
7,133341,2276,8087,4260.519323,525.857835,"MCD09_mean_06",4786.377158,3734.661488,"AT_12","Afrotropics","Mediterranean Forests, Woodlands & Scrub",95863.7234657234
8,3035409,0,9123,1995.142451,1482.842845,"MCD09_mean_06",3477.985296,512.299606,"AT_13","Afrotropics","Deserts & Xeric Shrublands",2408177.6913716
9,90957,334,9831,6884.95256,2519.17163,"MCD09_mean_06",9404.12419,4365.78093,"AT_14","Afrotropics","Mangroves",76880.1227050211
10,182688,422,7852,3244.296429,1362.461218,"MCD09_mean_06",4606.757647,1881.835211,"AT_98","Afrotropics","Lake",155945.223326255
11,29822,6104,10000,8891.504024,925.637574,"MCD09_mean_06",9817.141598,7965.86645,"AN_11","Antarctic","Tundra",3224184.7464844
