"icode","n","min","max","mean","sd","meanpsd","meanmsd","month","code","realm","biome"
17,99967,37,100,65.317465,16.380173,81.697638,48.937292,"04","AA_10","Australasia","Montane Grasslands & Shrublands"
18,1630,68,97,84.08589,6.395689,90.481579,77.690201,"04","AA_11","Australasia","Tundra"
19,1113014,21,90,41.939427,9.014306,50.953733,32.925121,"04","AA_12","Australasia","Mediterranean Forests, Woodlands & Scrub"
20,4626700,10,85,28.817372,7.3686,36.185972,21.448772,"04","AA_13","Australasia","Deserts & Xeric Shrublands"
21,31421,55,89,73.636549,5.892155,79.528704,67.744394,"04","AA_14","Australasia","Mangroves"
22,6661401,5,100,62.291372,21.720396,84.011768,40.570976,"04","IM_1","IndoMalay","Tropical & Subtropical Moist Broadleaf Forests"
23,1886721,5,98,40.30297,22.976223,63.279193,17.326747,"04","IM_2","IndoMalay","Tropical & Subtropical Dry Broadleaf Forests"
24,127677,12,100,45.064843,20.614534,65.679377,24.450309,"04","IM_3","IndoMalay","Tropical & Subtropical Coniferous Forests"
25,200216,12,100,67.771072,20.926343,88.697415,46.844729,"04","IM_4","IndoMalay","Temperate Broadleaf & Mixed Forests"
26,90962,21,100,62.594589,23.173158,85.767747,39.421431,"04","IM_5","IndoMalay","Temperate Conifer Forests"
27,45388,12,85,24.578831,10.122437,34.701268,14.456394,"04","IM_7","IndoMalay","Tropical & Subtropical Grasslands, Savannas & Shrublands"
28,35520,6,55,15.289949,6.271935,21.561884,9.018014,"04","IM_9","IndoMalay","Flooded Grasslands & Savannas"
29,5088,56,100,84.280464,9.47054,93.751004,74.809924,"04","IM_10","IndoMalay","Montane Grasslands & Shrublands"
30,1396261,4,88,25.549137,10.896606,36.445743,14.652531,"04","IM_13","IndoMalay","Deserts & Xeric Shrublands"
31,142941,5,96,55.274687,20.066491,75.341178,35.208196,"04","IM_14","IndoMalay","Mangroves"
32,666166,34,92,71.141977,10.538862,81.680839,60.603115,"04","NA_2","Nearctic","Tropical & Subtropical Dry Broadleaf Forests"
33,14778591,25,100,62.714087,7.892755,70.606842,54.821332,"04","NA_3","Nearctic","Tropical & Subtropical Coniferous Forests"
34,2891794,26,100,66.599505,12.3307,78.930205,54.268805,"04","NA_4","Nearctic","Temperate Broadleaf & Mixed Forests"
35,24585235,15,100,55.772195,12.79189,68.564085,42.980305,"04","NA_5","Nearctic","Temperate Conifer Forests"
36,8286176,22,100,54.607263,8.153394,62.760657,46.453869,"04","NA_6","Nearctic","Boreal Forests/Taiga"
37,526657,9,79,47.461965,15.473196,62.935161,31.988769,"04","NA_7","Nearctic","Tropical & Subtropical Grasslands, Savannas & Shrublands"
38,4899545,13,100,60.668716,14.181737,74.850453,46.486979,"04","NA_8","Nearctic","Temperate Grasslands, Savannas & Shrublands"
39,13143262,8,100,56.670098,14.074434,70.744532,42.595664,"04","NA_11","Nearctic","Tundra"
40,3015613,13,98,51.123264,11.945201,63.068465,39.178063,"04","NA_12","Nearctic","Mediterranean Forests, Woodlands & Scrub"
41,24050470,4,100,32.811,12.842992,45.653992,19.968008,"04","NA_13","Nearctic","Deserts & Xeric Shrublands"
42,67273,13,40,20.52061,2.68262,23.20323,17.83799,"04","NA_98","Nearctic","Lake"
43,375006,14,73,29.218557,8.939892,38.158449,20.278665,"04","NA_99","Nearctic","Rock & Ice"
44,4419312,36,91,59.97131,6.002769,65.974079,53.968541,"04","NT_1","Neotropics","Tropical & Subtropical Moist Broadleaf Forests"
45,3848773,9,100,65.493391,14.227488,79.720879,51.265903,"04","NT_2","Neotropics","Tropical & Subtropical Dry Broadleaf Forests"
46,11172313,19,100,54.154042,11.384968,65.53901,42.769074,"04","NT_3","Neotropics","Tropical & Subtropical Coniferous Forests"
47,107349,32,67,54.384782,6.255355,60.640137,48.129427,"04","NT_4","Neotropics","Temperate Broadleaf & Mixed Forests"
48,5021883,19,95,53.730721,8.693421,62.424142,45.0373,"04","NT_7","Neotropics","Tropical & Subtropical Grasslands, Savannas & Shrublands"
49,14231572,2,100,51.638431,18.265217,69.903648,33.373214,"04","NT_8","Neotropics","Temperate Grasslands, Savannas & Shrublands"
50,173991,13,82,35.463329,7.979735,43.443064,27.483594,"04","NT_9","Neotropics","Flooded Grasslands & Savannas"
51,3294261,6,100,36.105106,15.400571,51.505677,20.704535,"04","NT_10","Neotropics","Montane Grasslands & Shrublands"
52,1517251,30,91,59.364383,6.417405,65.781788,52.946978,"04","NT_12","Neotropics","Mediterranean Forests, Woodlands & Scrub"
53,72691511,0,100,61.990603,33.14447,95.135073,28.846133,"04","NT_13","Neotropics","Deserts & Xeric Shrublands"
54,11000629,15,100,74.447468,11.30668,85.754148,63.140788,"04","NT_14","Neotropics","Mangroves"
55,1386714,8,100,53.867925,22.512539,76.380464,31.355386,"04","NT_98","Neotropics","Lake"
56,399192,12,100,48.581059,19.356897,67.937956,29.224162,"04","NT_99","Neotropics","Rock & Ice"
57,690956,15,100,67.73244,18.574103,86.306543,49.158337,"04","OC_1","Oceania","Tropical & Subtropical Moist Broadleaf Forests"
58,4946417,22,98,61.121342,13.109061,74.230403,48.012281,"04","OC_2","Oceania","Tropical & Subtropical Dry Broadleaf Forests"
59,2478959,20,100,43.360908,9.780788,53.141696,33.58012,"04","OC_7","Oceania","Tropical & Subtropical Grasslands, Savannas & Shrublands"
60,340291,26,92,49.368881,7.681657,57.050538,41.687224,"04","PA_1","Palearctic","Tropical & Subtropical Moist Broadleaf Forests"
61,1103938,5,100,38.661101,25.498638,64.159739,13.162463,"04","PA_4","Palearctic","Temperate Broadleaf & Mixed Forests"
62,203089,2,67,20.333863,12.471759,32.805622,7.862104,"04","PA_5","Palearctic","Temperate Conifer Forests"
63,1401083,3,100,58.360318,23.492427,81.852745,34.867891,"04","PA_6","Palearctic","Boreal Forests/Taiga"
64,151413,10,98,54.510333,19.262509,73.772842,35.247824,"04","PA_8","Palearctic","Temperate Grasslands, Savannas & Shrublands"
65,9721,14,55,25.519802,6.115137,31.634939,19.404665,"04","PA_9","Palearctic","Flooded Grasslands & Savannas"
66,31283,60,100,93.891954,6.635651,100.527605,87.256303,"04","PA_10","Palearctic","Montane Grasslands & Shrublands"
67,35354,0,100,71.961079,13.477157,85.438236,58.483922,"04","PA_11","Palearctic","Tundra"
68,18023,26,98,68.488043,13.059333,81.547376,55.42871,"04","PA_12","Palearctic","Mediterranean Forests, Woodlands & Scrub"
69,4200,25,96,48.56619,13.4704,62.03659,35.09579,"04","PA_13","Palearctic","Deserts & Xeric Shrublands"
1,4109912,5,100,69.903578,15.098279,85.001857,54.805299,"05","AT_1","Afrotropics","Tropical & Subtropical Moist Broadleaf Forests"
2,236635,6,86,23.785235,8.735171,32.520406,15.050064,"05","AT_2","Afrotropics","Tropical & Subtropical Dry Broadleaf Forests"
3,16678173,1,100,46.38334,21.247452,67.630792,25.135888,"05","AT_7","Afrotropics","Tropical & Subtropical Grasslands, Savannas & Shrublands"
4,32716,2,97,15.29322,10.847972,26.141192,4.445248,"05","AT_8","Afrotropics","Temperate Grasslands, Savannas & Shrublands"
5,547700,4,89,46.25528,23.344915,69.600195,22.910365,"05","AT_9","Afrotropics","Flooded Grasslands & Savannas"
6,1082136,7,100,43.287107,19.028271,62.315378,24.258836,"05","AT_10","Afrotropics","Montane Grasslands & Shrublands"
7,133341,21,84,44.349195,5.490873,49.840068,38.858322,"05","AT_12","Afrotropics","Mediterranean Forests, Woodlands & Scrub"
8,3035086,0,88,22.102525,13.354813,35.457338,8.747712,"05","AT_13","Afrotropics","Deserts & Xeric Shrublands"
9,90957,7,98,61.818508,23.585237,85.403745,38.233271,"05","AT_14","Afrotropics","Mangroves"
10,182688,9,89,42.881317,15.222075,58.103392,27.659242,"05","AT_98","Afrotropics","Lake"
11,2801024,14,100,72.485063,17.497425,89.982488,54.987638,"05","AN_11","Antarctic","Tundra"
12,1358169,35,100,77.958641,10.353725,88.312366,67.604916,"05","AA_1","Australasia","Tropical & Subtropical Moist Broadleaf Forests"
13,104288,26,99,63.311685,14.024218,77.335903,49.287467,"05","AA_2","Australasia","Tropical & Subtropical Dry Broadleaf Forests"
14,1060843,26,92,55.398434,12.667243,68.065677,42.731191,"05","AA_4","Australasia","Temperate Broadleaf & Mixed Forests"
15,2670428,15,92,34.349293,12.539224,46.888517,21.810069,"05","AA_7","Australasia","Tropical & Subtropical Grasslands, Savannas & Shrublands"
16,865493,19,89,36.330499,10.198116,46.528615,26.132383,"05","AA_8","Australasia","Temperate Grasslands, Savannas & Shrublands"
17,99967,45,100,69.896826,13.18909,83.085916,56.707736,"05","AA_10","Australasia","Montane Grasslands & Shrublands"
18,1630,68,93,81.527607,5.251809,86.779416,76.275798,"05","AA_11","Australasia","Tundra"
19,1113014,25,93,49.085269,10.351989,59.437258,38.73328,"05","AA_12","Australasia","Mediterranean Forests, Woodlands & Scrub"
20,4626700,15,89,27.68877,7.028336,34.717106,20.660434,"05","AA_13","Australasia","Deserts & Xeric Shrublands"
21,31421,46,92,73.945069,7.695194,81.640263,66.249875,"05","AA_14","Australasia","Mangroves"
22,6661401,10,100,70.179245,16.754132,86.933377,53.425113,"05","IM_1","IndoMalay","Tropical & Subtropical Moist Broadleaf Forests"
23,1886721,5,99,50.91507,23.484188,74.399258,27.430882,"05","IM_2","IndoMalay","Tropical & Subtropical Dry Broadleaf Forests"
24,127677,14,100,46.6259,24.571607,71.197507,22.054293,"05","IM_3","IndoMalay","Tropical & Subtropical Coniferous Forests"
25,200216,15,100,68.167909,22.477971,90.64588,45.689938,"05","IM_4","IndoMalay","Temperate Broadleaf & Mixed Forests"
26,90962,15,100,61.854588,28.409818,90.264406,33.44477,"05","IM_5","IndoMalay","Temperate Conifer Forests"
27,45388,15,94,35.275403,12.860383,48.135786,22.41502,"05","IM_7","IndoMalay","Tropical & Subtropical Grasslands, Savannas & Shrublands"
28,35520,5,67,19.190315,11.889285,31.0796,7.30103,"05","IM_9","IndoMalay","Flooded Grasslands & Savannas"
29,5088,60,98,86.255307,7.721735,93.977042,78.533572,"05","IM_10","IndoMalay","Montane Grasslands & Shrublands"
30,1396252,2,85,26.56523,14.745177,41.310407,11.820053,"05","IM_13","IndoMalay","Deserts & Xeric Shrublands"
31,142941,6,98,70.787619,15.993868,86.781487,54.793751,"05","IM_14","IndoMalay","Mangroves"
32,666166,44,96,76.213047,6.779045,82.992092,69.434002,"05","NA_2","Nearctic","Tropical & Subtropical Dry Broadleaf Forests"
33,14778591,9,100,62.193588,9.886976,72.080564,52.306612,"05","NA_3","Nearctic","Tropical & Subtropical Coniferous Forests"
34,2891794,15,100,68.055766,12.213656,80.269422,55.84211,"05","NA_4","Nearctic","Temperate Broadleaf & Mixed Forests"
35,24585235,21,100,58.156174,10.185506,68.34168,47.970668,"05","NA_5","Nearctic","Temperate Conifer Forests"
36,8286176,14,100,50.814409,8.478841,59.29325,42.335568,"05","NA_6","Nearctic","Boreal Forests/Taiga"
37,526657,7,77,46.316075,19.102876,65.418951,27.213199,"05","NA_7","Nearctic","Tropical & Subtropical Grasslands, Savannas & Shrublands"
38,4899545,8,100,61.246546,15.543053,76.789599,45.703493,"05","NA_8","Nearctic","Temperate Grasslands, Savannas & Shrublands"
39,13143262,19,99,48.663377,11.411194,60.074571,37.252183,"05","NA_11","Nearctic","Tundra"
40,3015613,7,94,43.563345,12.011838,55.575183,31.551507,"05","NA_12","Nearctic","Mediterranean Forests, Woodlands & Scrub"
41,24050330,1,100,26.863198,13.209381,40.072579,13.653817,"05","NA_13","Nearctic","Deserts & Xeric Shrublands"
42,67273,3,29,11.158489,2.487483,13.645972,8.671006,"05","NA_98","Nearctic","Lake"
43,375006,8,81,31.602857,12.944716,44.547573,18.658141,"05","NA_99","Nearctic","Rock & Ice"
44,4419312,37,86,64.312905,4.995981,69.308886,59.316924,"05","NT_1","Neotropics","Tropical & Subtropical Moist Broadleaf Forests"
45,3848773,5,100,65.596317,13.624604,79.220921,51.971713,"05","NT_2","Neotropics","Tropical & Subtropical Dry Broadleaf Forests"
46,11172313,22,100,57.981746,11.172488,69.154234,46.809258,"05","NT_3","Neotropics","Tropical & Subtropical Coniferous Forests"
47,107349,23,69,53.457182,7.456236,60.913418,46.000946,"05","NT_4","Neotropics","Temperate Broadleaf & Mixed Forests"
48,5021883,12,85,55.931401,9.840295,65.771696,46.091106,"05","NT_7","Neotropics","Tropical & Subtropical Grasslands, Savannas & Shrublands"
49,14231426,1,100,44.515268,17.738718,62.253986,26.77655,"05","NT_8","Neotropics","Temperate Grasslands, Savannas & Shrublands"
50,173991,7,74,23.351564,7.109243,30.460807,16.242321,"05","NT_9","Neotropics","Flooded Grasslands & Savannas"
51,3294261,4,96,33.97766,15.770232,49.747892,18.207428,"05","NT_10","Neotropics","Montane Grasslands & Shrublands"
52,1517251,26,91,51.983689,11.468053,63.451742,40.515636,"05","NT_12","Neotropics","Mediterranean Forests, Woodlands & Scrub"
53,8876465,1,100,28.464609,23.777496,52.242105,4.687113,"05","NT_13","Neotropics","Deserts & Xeric Shrublands"
54,11000629,12,100,70.400796,11.873561,82.274357,58.527235,"05","NT_14","Neotropics","Mangroves"
55,1386714,7,100,54.393168,21.605745,75.998913,32.787423,"05","NT_98","Neotropics","Lake"
56,399192,10,100,62.546995,18.844419,81.391414,43.702576,"05","NT_99","Neotropics","Rock & Ice"
57,690956,32,100,72.740476,11.648169,84.388645,61.092307,"05","OC_1","Oceania","Tropical & Subtropical Moist Broadleaf Forests"
58,4946417,24,98,54.993749,12.761494,67.755243,42.232255,"05","OC_2","Oceania","Tropical & Subtropical Dry Broadleaf Forests"
59,2478959,32,100,53.98323,6.574445,60.557675,47.408785,"05","OC_7","Oceania","Tropical & Subtropical Grasslands, Savannas & Shrublands"
60,340291,30,93,49.766373,7.484287,57.25066,42.282086,"05","PA_1","Palearctic","Tropical & Subtropical Moist Broadleaf Forests"
61,1103938,6,100,36.182309,23.314731,59.49704,12.867578,"05","PA_4","Palearctic","Temperate Broadleaf & Mixed Forests"
62,203097,7,86,33.9687,16.79317,50.76187,17.17553,"05","PA_5","Palearctic","Temperate Conifer Forests"
63,1401074,2,99,54.022725,24.511372,78.534097,29.511353,"05","PA_6","Palearctic","Boreal Forests/Taiga"
64,151413,4,98,59.099034,18.393338,77.492372,40.705696,"05","PA_8","Palearctic","Temperate Grasslands, Savannas & Shrublands"
65,9721,13,35,19.62113,3.611505,23.232635,16.009625,"05","PA_9","Palearctic","Flooded Grasslands & Savannas"
66,31283,64,100,93.493399,6.993383,100.486782,86.500016,"05","PA_10","Palearctic","Montane Grasslands & Shrublands"
67,35354,18,100,69.353538,13.988976,83.342514,55.364562,"05","PA_11","Palearctic","Tundra"
68,18023,16,98,63.809244,13.917198,77.726442,49.892046,"05","PA_12","Palearctic","Mediterranean Forests, Woodlands & Scrub"
69,4200,19,96,42.599048,13.239192,55.83824,29.359856,"05","PA_13","Palearctic","Deserts & Xeric Shrublands"
1,4109912,4,100,70.131367,16.914154,87.045521,53.217213,"06","AT_1","Afrotropics","Tropical & Subtropical Moist Broadleaf Forests"
2,236635,3,84,17.46693,10.587843,28.054773,6.879087,"06","AT_2","Afrotropics","Tropical & Subtropical Dry Broadleaf Forests"
3,16677170,0,100,44.420731,24.685554,69.106285,19.735177,"06","AT_7","Afrotropics","Tropical & Subtropical Grasslands, Savannas & Shrublands"
4,32718,6,96,19.623174,10.087221,29.710395,9.535953,"06","AT_8","Afrotropics","Temperate Grasslands, Savannas & Shrublands"
5,547675,1,91,44.378827,25.355079,69.733906,19.023748,"06","AT_9","Afrotropics","Flooded Grasslands & Savannas"
6,1082118,1,100,40.750379,25.263656,66.014035,15.486723,"06","AT_10","Afrotropics","Montane Grasslands & Shrublands"
7,133341,23,81,42.610847,5.269842,47.880689,37.341005,"06","AT_12","Afrotropics","Mediterranean Forests, Woodlands & Scrub"
8,3034374,0,95,19.978831,14.877757,34.856588,5.101074,"06","AT_13","Afrotropics","Deserts & Xeric Shrublands"
9,90957,3,98,68.730488,25.193599,93.924087,43.536889,"06","AT_14","Afrotropics","Mangroves"
10,182688,4,79,32.452389,13.639221,46.09161,18.813168,"06","AT_98","Afrotropics","Lake"
11,29822,59,100,88.994802,9.392996,98.387798,79.601806,"06","AN_11","Antarctic","Tundra"
12,1358169,29,100,77.36101,11.292757,88.653767,66.068253,"06","AA_1","Australasia","Tropical & Subtropical Moist Broadleaf Forests"
13,104288,15,99,56.860137,15.925474,72.785611,40.934663,"06","AA_2","Australasia","Tropical & Subtropical Dry Broadleaf Forests"
14,1060843,33,99,60.130863,8.164574,68.295437,51.966289,"06","AA_4","Australasia","Temperate Broadleaf & Mixed Forests"
15,2670428,7,93,25.686477,15.09225,40.778727,10.594227,"06","AA_7","Australasia","Tropical & Subtropical Grasslands, Savannas & Shrublands"
16,865493,23,96,45.115271,9.197525,54.312796,35.917746,"06","AA_8","Australasia","Temperate Grasslands, Savannas & Shrublands"
17,99967,36,100,71.783268,14.206467,85.989735,57.576801,"06","AA_10","Australasia","Montane Grasslands & Shrublands"
18,1630,68,95,82.451534,5.950671,88.402205,76.500863,"06","AA_11","Australasia","Tundra"
19,1113014,29,89,53.168675,7.491654,60.660329,45.677021,"06","AA_12","Australasia","Mediterranean Forests, Woodlands & Scrub"
20,4626700,7,91,27.784887,9.840791,37.625678,17.944096,"06","AA_13","Australasia","Deserts & Xeric Shrublands"
21,31421,49,95,76.84905,7.810908,84.659958,69.038142,"06","AA_14","Australasia","Mangroves"
22,6661401,24,100,80.757217,10.257932,91.015149,70.499285,"06","IM_1","IndoMalay","Tropical & Subtropical Moist Broadleaf Forests"
23,1886721,41,100,78.115154,9.770928,87.886082,68.344226,"06","IM_2","IndoMalay","Tropical & Subtropical Dry Broadleaf Forests"
24,127677,10,100,60.893176,22.554103,83.447279,38.339073,"06","IM_3","IndoMalay","Tropical & Subtropical Coniferous Forests"
25,200216,14,100,76.600252,21.838827,98.439079,54.761425,"06","IM_4","IndoMalay","Temperate Broadleaf & Mixed Forests"
26,90962,11,100,68.851169,28.447803,97.298972,40.403366,"06","IM_5","IndoMalay","Temperate Conifer Forests"
27,45388,43,99,65.576232,11.278412,76.854644,54.29782,"06","IM_7","IndoMalay","Tropical & Subtropical Grasslands, Savannas & Shrublands"
28,35520,40,81,58.127337,7.226533,65.35387,50.900804,"06","IM_9","IndoMalay","Flooded Grasslands & Savannas"
29,5088,61,98,83.440252,7.353281,90.793533,76.086971,"06","IM_10","IndoMalay","Montane Grasslands & Shrublands"
30,1396261,12,96,55.537056,21.05534,76.592396,34.481716,"06","IM_13","IndoMalay","Deserts & Xeric Shrublands"
31,142941,20,100,79.414381,11.571754,90.986135,67.842627,"06","IM_14","IndoMalay","Mangroves"
32,666166,61,100,84.21006,4.919942,89.130002,79.290118,"06","NA_2","Nearctic","Tropical & Subtropical Dry Broadleaf Forests"
33,14778498,1,100,60.723744,14.017956,74.7417,46.705788,"06","NA_3","Nearctic","Tropical & Subtropical Coniferous Forests"
34,2891794,5,100,64.923918,15.941781,80.865699,48.982137,"06","NA_4","Nearctic","Temperate Broadleaf & Mixed Forests"
35,24585235,23,100,53.523734,9.714603,63.238337,43.809131,"06","NA_5","Nearctic","Temperate Conifer Forests"
36,8286070,0,99,49.378321,12.253066,61.631387,37.125255,"06","NA_6","Nearctic","Boreal Forests/Taiga"
37,526458,0,74,39.985366,24.085805,64.071171,15.899561,"06","NA_7","Nearctic","Tropical & Subtropical Grasslands, Savannas & Shrublands"
38,4899545,3,100,60.762907,19.039385,79.802292,41.723522,"06","NA_8","Nearctic","Temperate Grasslands, Savannas & Shrublands"
39,13143262,13,100,42.888806,13.007365,55.896171,29.881441,"06","NA_11","Nearctic","Tundra"
40,3015522,0,93,28.800217,12.716702,41.516919,16.083515,"06","NA_12","Nearctic","Mediterranean Forests, Woodlands & Scrub"
41,24042631,0,100,21.359164,15.650688,37.009852,5.708476,"06","NA_13","Nearctic","Deserts & Xeric Shrublands"
42,67273,5,32,14.92355,3.767175,18.690725,11.156375,"06","NA_98","Nearctic","Lake"
43,375006,10,95,48.089999,14.346716,62.436715,33.743283,"06","NA_99","Nearctic","Rock & Ice"
44,4419312,34,87,62.149922,6.315795,68.465717,55.834127,"06","NT_1","Neotropics","Tropical & Subtropical Moist Broadleaf Forests"
45,3848773,5,100,61.753075,15.653341,77.406416,46.099734,"06","NT_2","Neotropics","Tropical & Subtropical Dry Broadleaf Forests"
46,11172313,15,100,57.441987,12.744534,70.186521,44.697453,"06","NT_3","Neotropics","Tropical & Subtropical Coniferous Forests"
47,107349,20,83,54.625222,9.758399,64.383621,44.866823,"06","NT_4","Neotropics","Temperate Broadleaf & Mixed Forests"
48,5021883,4,75,50.343949,11.722157,62.066106,38.621792,"06","NT_7","Neotropics","Tropical & Subtropical Grasslands, Savannas & Shrublands"
49,14231614,5,100,40.273947,16.077553,56.3515,24.196394,"06","NT_8","Neotropics","Temperate Grasslands, Savannas & Shrublands"
50,173991,4,86,15.045313,7.276483,22.321796,7.76883,"06","NT_9","Neotropics","Flooded Grasslands & Savannas"
51,3294229,2,96,29.3475,13.937244,43.284744,15.410256,"06","NT_10","Neotropics","Montane Grasslands & Shrublands"
52,1517251,6,90,41.505966,13.796808,55.302774,27.709158,"06","NT_12","Neotropics","Mediterranean Forests, Woodlands & Scrub"
53,8274427,2,100,21.827624,18.149411,39.977035,3.678213,"06","NT_13","Neotropics","Deserts & Xeric Shrublands"
54,11000629,9,100,62.090946,15.664111,77.755057,46.426835,"06","NT_14","Neotropics","Mangroves"
55,1386714,6,100,54.957787,20.428131,75.385918,34.529656,"06","NT_98","Neotropics","Lake"
56,399192,10,100,75.922559,12.190413,88.112972,63.732146,"06","NT_99","Neotropics","Rock & Ice"
57,690956,38,100,78.475414,9.318327,87.793741,69.157087,"06","OC_1","Oceania","Tropical & Subtropical Moist Broadleaf Forests"
58,4946417,9,98,47.383649,16.486617,63.870266,30.897032,"06","OC_2","Oceania","Tropical & Subtropical Dry Broadleaf Forests"
59,2478959,25,100,57.816933,8.510558,66.327491,49.306375,"06","OC_7","Oceania","Tropical & Subtropical Grasslands, Savannas & Shrublands"
60,340291,20,96,45.967516,13.448202,59.415718,32.519314,"06","PA_1","Palearctic","Tropical & Subtropical Moist Broadleaf Forests"
61,1103938,3,100,34.852366,26.775311,61.627677,8.077055,"06","PA_4","Palearctic","Temperate Broadleaf & Mixed Forests"
62,203097,7,99,40.004658,19.965794,59.970452,20.038864,"06","PA_5","Palearctic","Temperate Conifer Forests"
63,1400990,0,99,48.955165,23.839646,72.794811,25.115519,"06","PA_6","Palearctic","Boreal Forests/Taiga"
64,151413,4,99,62.419852,16.342798,78.76265,46.077054,"06","PA_8","Palearctic","Temperate Grasslands, Savannas & Shrublands"
65,9721,7,26,12.738504,2.153647,14.892151,10.584857,"06","PA_9","Palearctic","Flooded Grasslands & Savannas"
66,31283,69,100,93.743918,6.473855,100.217773,87.270063,"06","PA_10","Palearctic","Montane Grasslands & Shrublands"
67,35354,0,100,68.393166,15.044836,83.438002,53.34833,"06","PA_11","Palearctic","Tundra"
68,18023,12,99,61.544693,15.89756,77.442253,45.647133,"06","PA_12","Palearctic","Mediterranean Forests, Woodlands & Scrub"
69,4200,14,96,39.347381,17.432127,56.779508,21.915254,"06","PA_13","Palearctic","Deserts & Xeric Shrublands"
1,4109912,5,100,71.908066,17.666497,89.574563,54.241569,"07","AT_1","Afrotropics","Tropical & Subtropical Moist Broadleaf Forests"
2,236608,2,89,18.202144,11.699155,29.901299,6.502989,"07","AT_2","Afrotropics","Tropical & Subtropical Dry Broadleaf Forests"
3,16676189,0,100,47.491004,27.239342,74.730346,20.251662,"07","AT_7","Afrotropics","Tropical & Subtropical Grasslands, Savannas & Shrublands"
4,32718,14,96,31.090745,9.024007,40.114752,22.066738,"07","AT_8","Afrotropics","Temperate Grasslands, Savannas & Shrublands"
5,547675,0,85,44.538964,27.563363,72.102327,16.975601,"07","AT_9","Afrotropics","Flooded Grasslands & Savannas"
6,1082060,0,100,41.040553,29.535988,70.576541,11.504565,"07","AT_10","Afrotropics","Montane Grasslands & Shrublands"
7,133341,17,79,38.969859,6.003515,44.973374,32.966344,"07","AT_12","Afrotropics","Mediterranean Forests, Woodlands & Scrub"
8,3033571,0,98,20.615341,17.891682,38.507023,2.723659,"07","AT_13","Afrotropics","Deserts & Xeric Shrublands"
9,90957,4,100,71.322295,26.535212,97.857507,44.787083,"07","AT_14","Afrotropics","Mangroves"
10,182673,2,80,29.023222,15.386104,44.409326,13.637118,"07","AT_98","Afrotropics","Lake"
11,719819,26,100,77.012461,11.381585,88.394046,65.630876,"07","AN_11","Antarctic","Tundra"
12,1358169,24,100,80.169285,11.451984,91.621269,68.717301,"07","AA_1","Australasia","Tropical & Subtropical Moist Broadleaf Forests"
13,104288,13,99,54.495522,17.376675,71.872197,37.118847,"07","AA_2","Australasia","Tropical & Subtropical Dry Broadleaf Forests"
14,1060843,26,100,58.167648,11.819839,69.987487,46.347809,"07","AA_4","Australasia","Temperate Broadleaf & Mixed Forests"
15,2670428,3,93,19.470803,15.434108,34.904911,4.036695,"07","AA_7","Australasia","Tropical & Subtropical Grasslands, Savannas & Shrublands"
16,865493,13,100,38.678293,13.757,52.435293,24.921293,"07","AA_8","Australasia","Temperate Grasslands, Savannas & Shrublands"
17,99967,40,100,73.42281,14.739503,88.162313,58.683307,"07","AA_10","Australasia","Montane Grasslands & Shrublands"
18,1630,66,95,81.81411,5.793069,87.607179,76.021041,"07","AA_11","Australasia","Tundra"
19,1113014,27,90,53.770728,8.961239,62.731967,44.809489,"07","AA_12","Australasia","Mediterranean Forests, Woodlands & Scrub"
20,4626700,4,90,22.125255,10.905085,33.03034,11.22017,"07","AA_13","Australasia","Deserts & Xeric Shrublands"
21,31421,45,96,79.648897,8.840381,88.489278,70.808516,"07","AA_14","Australasia","Mangroves"
22,6661401,15,100,83.977795,10.515687,94.493482,73.462108,"07","IM_1","IndoMalay","Tropical & Subtropical Moist Broadleaf Forests"
23,1886721,57,100,90.267486,5.790946,96.058432,84.47654,"07","IM_2","IndoMalay","Tropical & Subtropical Dry Broadleaf Forests"
24,127677,17,100,78.440769,18.454582,96.895351,59.986187,"07","IM_3","IndoMalay","Tropical & Subtropical Coniferous Forests"
25,200216,17,100,83.231925,17.486509,100.718434,65.745416,"07","IM_4","IndoMalay","Temperate Broadleaf & Mixed Forests"
26,90962,14,100,77.729997,24.300909,102.030906,53.429088,"07","IM_5","IndoMalay","Temperate Conifer Forests"
27,45388,67,100,84.018485,4.618186,88.636671,79.400299,"07","IM_7","IndoMalay","Tropical & Subtropical Grasslands, Savannas & Shrublands"
28,35520,71,97,86.558925,4.719786,91.278711,81.839139,"07","IM_9","IndoMalay","Flooded Grasslands & Savannas"
29,5088,67,98,86.795401,5.693329,92.48873,81.102072,"07","IM_10","IndoMalay","Montane Grasslands & Shrublands"
30,1396261,24,100,78.189294,15.710543,93.899837,62.478751,"07","IM_13","IndoMalay","Deserts & Xeric Shrublands"
31,142941,36,100,83.676545,10.388417,94.064962,73.288128,"07","IM_14","IndoMalay","Mangroves"
32,666166,61,100,84.004104,5.975922,89.980026,78.028182,"07","NA_2","Nearctic","Tropical & Subtropical Dry Broadleaf Forests"
33,14778333,1,100,59.831478,16.551094,76.382572,43.280384,"07","NA_3","Nearctic","Tropical & Subtropical Coniferous Forests"
34,2891794,2,100,64.220884,17.683384,81.904268,46.5375,"07","NA_4","Nearctic","Temperate Broadleaf & Mixed Forests"
35,24585235,23,99,52.234577,8.728298,60.962875,43.506279,"07","NA_5","Nearctic","Temperate Conifer Forests"
36,8285359,0,95,48.763544,14.472903,63.236447,34.290641,"07","NA_6","Nearctic","Boreal Forests/Taiga"
